name,tag_type,source
3rd F Cross Road,highway:residential,osm
4th C Cross,highway:residential,osm
4th A Cross,highway:residential,osm
4th C Cross Road,highway:residential,osm
12 B Cross,highway:residential,osm
Netharavathi Road,highway:residential,osm
Castel Green Compound,highway:residential,osm
Pushpanjali Tent Road,highway:residential,osm
Transport Street,highway:residential,osm
Thambuchettypalya Main Road,highway:secondary,osm
Basavanapura Main Road,highway:tertiary,osm
Hormavu Main Road,highway:tertiary,osm
Bovie Lane,highway:residential,osm
Tate Lane,highway:residential,osm
Nehru Road,highway:secondary,osm
Oil Mill Road,highway:tertiary,osm
Balakrishnaappa Main Road,highway:tertiary,osm
Vinayaka Temple Road,highway:tertiary,osm
JSS Public School Road,highway:residential,osm
Sri Ganapathi Temple Road,highway:tertiary,osm
8th Main Road(east),highway:residential,osm
8th Main Road (east),highway:residential,osm
9th A Main,highway:residential,osm
Adugodi Police Quarters,landuse:residential,osm
9th D Main Road,highway:residential,osm
2nd K Cross Road,highway:residential,osm
Srinidhi Upachar Road,highway:tertiary,osm
Gottigere Tank Bund Road,highway:tertiary,osm
Hennur Gardens,landuse:residential,osm
Krishnananda Road,highway:residential,osm
Nagashree Main Road,highway:residential,osm
Krishnananda Road,highway:tertiary,osm
6th B Main,highway:residential,osm
Service Road,highway:residential,osm
2 Cross Road,highway:residential,osm
Trinity Orchard,place:locality,osm
Bens Sathya Enclave,landuse:residential,osm
Millers Road,highway:secondary,osm
Mandhara Marg,highway:service,osm
Madhura Marg,highway:service,osm
Madhuka Marg,highway:service,osm
Nilagiri Marg,highway:service,osm
Mirinji Marg,highway:service,osm
Mahogany Marg,highway:service,osm
Casuarina Marg,highway:service,osm
Badam Marg,highway:service,osm
Amra Marg,highway:service,osm
MEI Road,highway:tertiary,osm
Nandhini Layout Main Road,highway:secondary,osm
Channakrishnayya Road,highway:tertiary,osm
Nagapura Main Road,highway:tertiary,osm
JC Nagar Main Road,highway:tertiary,osm
Gayathri Nagar Main Road,highway:tertiary,osm
1st Main Road,highway:secondary,osm
South End Road,highway:secondary,osm
7th Main Road,highway:secondary,osm
Subbanna Garden Main road,highway:tertiary,osm
14th Cross Chandra Layout,highway:secondary,osm
Sanjaynagar Main Road,highway:tertiary,osm
Nagavarapalaya Main Road,highway:secondary,osm
Swagath Road,highway:secondary,osm
Byrasandra Main Road,highway:tertiary,osm
58th Cross Road,highway:residential,osm
Subhash Chandra Bose Road,highway:tertiary,osm
2nd Main Road,highway:secondary,osm
Nagasandra Main Road,highway:residential,osm
Sajjan Rao Road,highway:secondary,osm
Hoskerehalli Main Road,highway:tertiary,osm
Bull Temple Road,highway:residential,osm
Bugle Rock Road,highway:tertiary,osm
Padarayanapura Road,highway:tertiary,osm
Modi Hospital Main Road,highway:tertiary,osm
Mill Corner Road,highway:secondary,osm
20th Main Road,highway:tertiary,osm
B P Wadia Road,highway:tertiary,osm
Netta Kalappa Circle,highway:primary,osm
Subramanyapura Main Road,highway:tertiary,osm
17th Main (S. Nijalingappa Road),highway:tertiary,osm
41st Cross Road,highway:tertiary,osm
Pottery Road,highway:secondary,osm
Arekere Mico Layout Main Road,highway:tertiary,osm
Begur - Hulimavu Road,highway:secondary,osm
4th Cross Street,highway:residential,osm
Indira Street,highway:residential,osm
Yash Classic Enclave,landuse:residential,osm
3rd B Main,highway:residential,osm
2nd H Cross Road,highway:residential,osm
5th C Main Road,highway:residential,osm
5th D Main Road,highway:residential,osm
Jal Vayu Vihar,landuse:residential,osm
Bethel Street,highway:residential,osm
3rd D Cross,highway:residential,osm
2nd I Cross,highway:residential,osm
2nd H Cross,highway:residential,osm
2nd G Cross,highway:residential,osm
2nd F Cross Road,highway:residential,osm
3rd E Main,highway:residential,osm
Anugraha Lotus,landuse:residential,osm
Diagonal Road,highway:residential,osm
Sri R. Nanjundappa Road,highway:residential,osm
Mahatma Gandhi Road,highway:primary,osm
Bhaskaran Road,highway:secondary,osm
Pottery Road,highway:primary,osm
Tannery Road,highway:secondary,osm
Viviani Road,highway:residential,osm
Begur Main Road,highway:tertiary,osm
MLA Office Road,highway:residential,osm
Sirur Park Road,highway:residential,osm
"14Th Cross, Swimming Pool Extension",highway:residential,osm
Girls School Street,highway:residential,osm
Sri Subrahmanyeshwara Swamy Temple Street,highway:residential,osm
NS Iyengar Street,highway:residential,osm
Mantri Greens,landuse:residential,osm
Devaiah Park Overbridge,highway:secondary,osm
Avenue Road,highway:tertiary,osm
MSA Lane,highway:residential,osm
AM Lane,highway:residential,osm
DK Lane,highway:residential,osm
MT Street,highway:residential,osm
Kashi Vishveshwara Temple Street,highway:residential,osm
BT Street,highway:residential,osm
Dasopanth Lane,highway:residential,osm
Devaraj Urs Road,highway:tertiary,osm
1 Main Road,highway:tertiary,osm
Palace Road,highway:secondary,osm
Millers Road,highway:primary,osm
North Public Square Road,highway:residential,osm
Vittasandra Main Road,highway:tertiary,osm
11th Cross,highway:residential,osm
B T Muniyappa Road,highway:residential,osm
Cross Road,highway:residential,osm
Andree Road,highway:residential,osm
Shanti Road,highway:residential,osm
Nanjappa Road,highway:residential,osm
Basappa Road,highway:residential,osm
Lakshmi Road,highway:residential,osm
Andree Street,highway:residential,osm
Swati Road,highway:residential,osm
1st Cross Lakshmi Road,highway:residential,osm
3rd Cross Lakshmi Road,highway:residential,osm
5th Cross Lakshmi Road,highway:residential,osm
9th Cross Lakshmi Road,highway:residential,osm
T Street,highway:residential,osm
Berlie Street Cross,highway:residential,osm
P Street,highway:residential,osm
Bethel Lane 2nd Cross,highway:residential,osm
Bethel Lane,highway:residential,osm
7th Cross Lakshmi Road,highway:residential,osm
Alfred Street,highway:residential,osm
Arab Lane B street,highway:living_street,osm
Vannarapet Road,highway:tertiary,osm
North Road,highway:residential,osm
4th Square Ln,highway:residential,osm
Walton Road,highway:residential,osm
Kasturba Cross Road,highway:residential,osm
Jeevaraj Alva Road,highway:tertiary,osm
6th A Cross Rd.,highway:residential,osm
16th Cross Street,highway:residential,osm
A Cross Road,highway:residential,osm
Dattatreya Temple Road,highway:tertiary,osm
Sankey Cross Road,highway:residential,osm
Embassy Habitat,landuse:residential,osm
RBI Quarters,landuse:residential,osm
South End Street,highway:residential,osm
S End Street,highway:residential,osm
Yamuna Bai Road,highway:residential,osm
Poorna Prasad Road,highway:residential,osm
American Colony,highway:residential,osm
Kumara Krupa Road,highway:residential,osm
Fair Field Layout Road,highway:residential,osm
Cunningham Cross Road,highway:residential,osm
Cunningham Road Cross,highway:residential,osm
Ali Asker Road Cross,highway:residential,osm
2nd Main Road,highway:living_street,osm
Poojamma Temple Road,highway:residential,osm
Ashok Puram Main Road,highway:tertiary,osm
80 Feet Road,highway:unclassified,osm
3rd Cross Road,highway:service,osm
30th Feet Road,highway:residential,osm
8th Main Road,highway:living_street,osm
Railway Quarters,landuse:residential,osm
15th B Main Road,highway:residential,osm
Anjaheya Temple zcross,highway:residential,osm
Nandidurga Crescent,highway:residential,osm
Munimarappa Road,highway:residential,osm
Wheeler Road Extension,highway:tertiary,osm
High Street,highway:residential,osm
Carleston Road,highway:residential,osm
McPherson Road,highway:residential,osm
Lewis Road,highway:residential,osm
Milton Street,highway:residential,osm
DaCosta Layout 1st Cross,highway:residential,osm
Kodigehalli Main Road,highway:tertiary,osm
Hutchins Main Road,highway:tertiary,osm
Ashoka Road,highway:residential,osm
Wheeler Road Flyover,highway:secondary,osm
"3rd Cross, Dacosta Square",highway:residential,osm
"2nd Cross, Dacosta Square",highway:residential,osm
Wheeler Road Extension Cross,highway:residential,osm
Hutchins 5th Cross,highway:residential,osm
Shampura Main Road,highway:tertiary,osm
Abhinava Vidyateerta Road,highway:residential,osm
Kannada Katte Road,highway:tertiary,osm
Rangarao road,highway:residential,osm
Satya Pramoda Teerta Road,highway:residential,osm
Ranga Rao Parallel Road,highway:residential,osm
S V Narayan Rao Road,highway:secondary,osm
Vanivilas Flyover,highway:secondary,osm
Kankanapalya Road,highway:tertiary,osm
Old Kanakapura Road,highway:tertiary,osm
Mountain Road,highway:residential,osm
Mountain Street,highway:residential,osm
Old Post Office Road,highway:residential,osm
17th Cross Krishna Rajendra Road,highway:residential,osm
34th A Cross,highway:residential,osm
Sobha Magnolia,landuse:residential,osm
3rd Main,highway:residential,osm
B Main Road,highway:residential,osm
E Main Road,highway:residential,osm
Sobha Opal,landuse:residential,osm
Marenahalli Road,highway:primary,osm
Ayodhyarama Road,highway:tertiary,osm
46th Cross Road,highway:residential,osm
BSNL Quarters,landuse:residential,osm
Adarsh Gardens,landuse:residential,osm
South End A Cross,highway:residential,osm
BG Cross Road,highway:residential,osm
36 Cross Road,highway:tertiary,osm
Jayadeva Hospital Underpass,highway:primary,osm
Outer Ring Road,highway:primary_link,osm
13th B Cross Road,highway:residential,osm
13 A Cross Road,highway:residential,osm
4A Cross Road,highway:residential,osm
25th B Main,highway:residential,osm
5th C Cross Road,highway:residential,osm
Maruthi Nagar Main Road,highway:secondary,osm
VP Road,highway:tertiary,osm
Hosur Road,highway:trunk,osm
Silk Board Flyover,highway:trunk,osm
Karnataka State Reserve Police Quarters,landuse:residential,osm
Subramaniapura Road,highway:secondary,osm
NICE Expressway,highway:motorway,osm
35th Cross Road,highway:tertiary,osm
22nd A Cross Road,highway:residential,osm
24th B Cross,highway:residential,osm
2nd Cross Gururaja layout,highway:residential,osm
"12th Main, Contour Road",highway:residential,osm
CSV Road,highway:residential,osm
50 Feet Road,highway:residential,osm
1st I Cross road,highway:residential,osm
3rd A Main Road,highway:residential,osm
1st D Cross Road,highway:residential,osm
1 G Cross Road,highway:residential,osm
7th B Main Road,highway:tertiary,osm
Oil Mill Road,highway:secondary,osm
15th B Cross Road,highway:residential,osm
11th B Main Road,highway:residential,osm
10th B Cross Road,highway:residential,osm
9th B Main,highway:residential,osm
8th B Main,highway:residential,osm
9th B Cross Road,highway:residential,osm
5th B Main Road,highway:residential,osm
12th A Cross,highway:residential,osm
Yelahanka Road,highway:secondary,osm
Jamia Masjid Road,highway:tertiary,osm
1st Road,highway:residential,osm
Bellahalli Main Road,highway:primary,osm
Varthur - Sarjapur Road,highway:primary,osm
Mahaveer Tuscan,landuse:residential,osm
Spring Beauty,landuse:residential,osm
Kumbena Agrahara Main Road,highway:tertiary,osm
Kristal Citrine Apartment,landuse:residential,osm
Ittina Akkala,landuse:residential,osm
Mosque Road,highway:residential,osm
Kamdhenu Nagar Main Road,highway:residential,osm
B Narayanapura Road,highway:residential,osm
15th Main Road,highway:tertiary,osm
8th B Cross Road,highway:tertiary,osm
Bhagyada Baglu Road,highway:residential,osm
1D Cross Road,highway:residential,osm
1A Cross Road,highway:residential,osm
HMR Industrial Area,highway:residential,osm
Jalahalli Main Road,highway:tertiary,osm
HMT Quarters,landuse:residential,osm
Prime Blue Forest Apartment,landuse:residential,osm
MSRIT Road,highway:tertiary,osm
New BEL Road,highway:secondary,osm
6th Main Road,highway:tertiary,osm
MS Ramaiah Road,highway:secondary,osm
Ramaiah Bridge,highway:secondary,osm
BEL Bridge,highway:secondary,osm
Mariamma Temple Road,highway:residential,osm
8th Cross road,highway:residential,osm
Poojari Layout 2nd cross,highway:residential,osm
Anjaneya Temple Road,highway:residential,osm
Tank Bund Road(4th Cross Road),highway:tertiary,osm
BEL Road,highway:residential,osm
Vivekananda Road,highway:residential,osm
4th Cross Kariappa Layout,highway:residential,osm
Poojari layout 3rd cross,highway:residential,osm
Poojari Layout 4th cross,highway:residential,osm
Poojari Layout 1st Cross,highway:residential,osm
Poojari Layout 2nd Cross,highway:residential,osm
Daffodils school road,highway:residential,osm
"2nd Cross, Sanjaynagar Main Road",highway:residential,osm
"5th Cross,Ashwathnagar 1st Main Road",highway:residential,osm
"3rd Cross,Ashwathnagar 1st Main Road",highway:residential,osm
2nd Main (Flour mill road),highway:residential,osm
"2nd Cross,Ashwathnagar 1st Main Road",highway:residential,osm
"5th Cross, Sanjaynagar Main Road",highway:residential,osm
KEB Layout 2nd Cross road,highway:residential,osm
IISc Quarters,landuse:residential,osm
Bhoopasandra Main Road,highway:tertiary,osm
5th D Cross Road,highway:residential,osm
Bhadrappa Layout Service Road,highway:tertiary,osm
Sri M Thimmaiah Road,highway:tertiary,osm
Jayamahal Road,highway:primary,osm
Varanasi Main Road,highway:tertiary,osm
Banjara Layout Main Road,highway:tertiary,osm
Chokkanahalli Road,highway:tertiary,osm
Kogilu Layout,landuse:residential,osm
Wood Street,highway:residential,osm
Linden Street,highway:residential,osm
Jayantinagara,landuse:residential,osm
Agrahara Layout,landuse:residential,osm
Agrahara Layout Main Road,highway:tertiary,osm
Kogilu-Sampigehalli Road,highway:tertiary,osm
Sri Vijayaraja Estate,highway:residential,osm
BSF STS Road,highway:residential,osm
Hebron Enclave Road,highway:tertiary,osm
Kittaganuru Road,highway:tertiary,osm
Medahalli-Kadugodi Road,highway:tertiary,osm
Ayyappa Nagar - Battarahalli Road,highway:secondary,osm
Kodigehalli Road,highway:tertiary,osm
Belathur Main Road,highway:tertiary,osm
Kodipalya Road,highway:secondary,osm
T Thimmiah Road,highway:tertiary,osm
C J Venkatesa Das Road,highway:tertiary,osm
Nallurahalli Road,highway:tertiary,osm
Jakkur Main Road,highway:secondary,osm
Shivanahalli Main Road,highway:tertiary,osm
Air Force Range Pipeline Road,highway:tertiary,osm
Abbigere Main Road,highway:secondary,osm
Abbigere Pipeline Road,highway:tertiary,osm
Lakshmipura Road,highway:tertiary,osm
Andrahalli Main Road,highway:secondary,osm
Andrahalli Main road,highway:secondary,osm
3rd Main Road,highway:secondary,osm
High Tension Road,highway:secondary,osm
Rajagopala Nagara Road,highway:tertiary,osm
Laggere Main Road,highway:tertiary,osm
Gandhi Marg,highway:secondary,osm
Loco Shed Quarters,landuse:residential,osm
Ranganatha Pura Main Road,highway:residential,osm
Lavelle Road,highway:tertiary,osm
6th Cross,highway:tertiary,osm
Sivanchetti Garden Road,highway:tertiary,osm
Dharamaraja Koil Street,highway:tertiary,osm
Union street,highway:residential,osm
Cunningham Road,highway:primary,osm
Infantry Road Cross,highway:residential,osm
15th A Cross Road,highway:residential,osm
Kupempu Layout,landuse:residential,osm
Conservancy Lane,highway:service,osm
Nehru Circle,highway:secondary,osm
Manorayana Palya Main Road,highway:tertiary,osm
1 Cross Road,highway:residential,osm
Bellary Road,highway:trunk,osm
Ganganagara 5th Main Road,highway:tertiary,osm
CBI Road,highway:secondary,osm
6th D Main Road,highway:residential,osm
80 Feet Road,highway:residential,osm
7th B Cross,highway:residential,osm
Kanaka Nagar 1st Main Road,highway:tertiary,osm
1st Main Road,highway:service,osm
KHB Main Road,highway:secondary,osm
14th A Cross Road,highway:tertiary,osm
Taralabalu Marg,highway:tertiary,osm
LR Bande Road,highway:tertiary,osm
Shamanna Gowda Road,highway:residential,osm
4th Cross road,highway:residential,osm
10th Cross Krishnappa Block,highway:residential,osm
9th Main Krishnappa Block,highway:residential,osm
8th Main Krishnappa Block,highway:residential,osm
6th Main Krishnappa Block,highway:residential,osm
7th Main Krishnappa Block,highway:residential,osm
"1st Cross, Nrupatunga layout",highway:residential,osm
"2nd Cross, Nrupatunga layout",highway:residential,osm
"3rd Cross, Nrupatunga layout",highway:residential,osm
"4th Cross, Nrupatunga layout",highway:residential,osm
CMM,highway:residential,osm
Judges Colony,highway:residential,osm
Yellamma Temple road,highway:residential,osm
Whitehouse Apartments,landuse:residential,osm
Cemetry Road,highway:residential,osm
TATA Aquila Heights Apartments,landuse:residential,osm
AFTC Quarters,landuse:residential,osm
Shriram Sadhana Apartments,landuse:residential,osm
Sharadambal Temple Road,highway:residential,osm
Prestige Kensington Gardens,landuse:residential,osm
Prestige Wellington Park,landuse:residential,osm
MTRDC Enclave,landuse:residential,osm
Margosa Avenue,highway:residential,osm
3 A Cross Road,highway:residential,osm
Jalahalli Road,highway:secondary,osm
Bank Avenue Main Road,highway:residential,osm
Canopy Apartments,landuse:residential,osm
Narayan Pillai Street,highway:tertiary,osm
Maharani College Underpass,highway:secondary,osm
Cunningham Crescent,highway:residential,osm
Dr. G. Raghava Road,highway:residential,osm
Ashirwad Colony Main Road,highway:residential,osm
Golden Grand,landuse:residential,osm
Conservancy Lane 2,highway:living_street,osm
Andrahalli Main Road,highway:tertiary,osm
Rajagopalnagar Main road,highway:tertiary,osm
14th Cross Road,highway:unclassified,osm
Andhrahalli Main Road - Peenya 2nd Stage,highway:tertiary,osm
Peenya Second Stage Bus Stop Road,highway:residential,osm
Nagasandra Main Road,highway:tertiary,osm
2nd G Cross Road,highway:residential,osm
8th Main Road (west),highway:residential,osm
9th E Main Road,highway:residential,osm
Lakhamma Road,highway:residential,osm
5th Cross Street,highway:residential,osm
7th C Main Road,highway:residential,osm
8th E Main Road,highway:residential,osm
8th D Main Road,highway:residential,osm
8th C Main Road,highway:residential,osm
2nd E Cross,highway:residential,osm
9th H Main road,highway:residential,osm
9th 'C' Main road,highway:residential,osm
3 C Cross,highway:residential,osm
9th C Main Road,highway:residential,osm
9th B Main Road,highway:residential,osm
4th B Cross,highway:residential,osm
9th G Main Road,highway:residential,osm
Ibrahim Saheb Road,highway:residential,osm
Ramaiah Layout Road,highway:residential,osm
Kanakapura Road,highway:primary,osm
Kanakapura Road,highway:trunk,osm
Swamy Vivekanandha Road,highway:secondary,osm
Anjanapura 60 Feet Road,highway:tertiary,osm
C Maddayya Road,highway:residential,osm
11 A Cross Road,highway:residential,osm
3rd Main Road,highway:living_street,osm
Keerthi Flora Pathway,highway:residential,osm
Church Street,highway:unclassified,osm
Mahaveer Kings Place Apartments,landuse:residential,osm
Madhura Nagara Sorahunase Main Road,highway:tertiary,osm
50 Feet Road,highway:secondary,osm
Begur Road,highway:secondary,osm
N S Rao Road,highway:residential,osm
9th K Main Road,highway:residential,osm
"9th F Main Road, Srigandha raste",highway:residential,osm
Channel Road,highway:tertiary,osm
Sangolli Rayanna Road,highway:residential,osm
Road to Someshwarnagar,highway:residential,osm
Javanica Marg,highway:service,osm
3 cross a,highway:residential,osm
Car Street,highway:residential,osm
Ananta Nair Road,highway:residential,osm
Thamarai Kannan Road,highway:secondary,osm
Railway Parallel Road,highway:service,osm
Entrepreneurship Centre Raod,highway:service,osm
NITTE Meenakshi College Road,highway:tertiary,osm
CPRI Staff Colony,landuse:residential,osm
Bull Temple Road,highway:secondary,osm
Sethna Power Tower,landuse:residential,osm
13th Street,highway:residential,osm
8th Street,highway:residential,osm
Sumanahalli Flyover,highway:trunk,osm
Poojari Layout Road,highway:residential,osm
Reflexology Path,highway:footway,osm
Nrupatunga Road,highway:primary,osm
KR Circle Underpass,highway:primary_link,osm
Devanga Hostel Road,highway:secondary,osm
Cubbon Road,highway:primary,osm
Venkataswamy Naidu Road,highway:tertiary_link,osm
5th B Cross,highway:residential,osm
Devanga Hostel Road,highway:primary_link,osm
Infantry Road,highway:tertiary,osm
Doddakammanahalli Main Road,highway:tertiary,osm
Santara Magan Place 1 Road,highway:residential,osm
Mahaveer Road,highway:residential,osm
MLA Layout Main Road,highway:residential,osm
Nobel Residency Road,highway:residential,osm
Hulimavu Lake Road,highway:residential,osm
Achutharaya Mudaliar Road,highway:residential,osm
Akshaya,landuse:residential,osm
Sri Rama Temple Road,highway:residential,osm
Ejipura Main Road,highway:tertiary,osm
Manipal County Road,highway:secondary,osm
Begur - Hulimavu Road,highway:tertiary,osm
Lake Point Tower Avenue,highway:tertiary,osm
Begur-Koppa Road,highway:secondary,osm
Police Quarters,landuse:residential,osm
Mysore Road 2nd Cross Road,highway:residential,osm
Tank Bund Road,highway:primary,osm
Majestic Foot Over Bridge,highway:footway,osm
Sha Shi Marulayya Road,highway:tertiary,osm
"2 Cross, Ram Mandir Road",highway:residential,osm
Railway Parallel Road,highway:tertiary,osm
7th A Cross,highway:residential,osm
9th J Main Road,highway:residential,osm
Sheshadripuram Main Road,highway:primary,osm
Devarabeesanahalli Road,highway:tertiary,osm
20F Cross Road,highway:residential,osm
Bairasandra Main Road,highway:residential,osm
Vinayaka Temple Street,highway:residential,osm
Aurobindo Marg,highway:secondary,osm
50 Feet Road,highway:tertiary,osm
Chord Road Flyover,highway:primary,osm
Kenchenahalli Road,highway:unclassified,osm
13th H Main,highway:residential,osm
1st A Cross,highway:residential,osm
Sirsi Road,highway:residential,osm
Dodda Gubbi Road,highway:tertiary,osm
2nd D Cross Road,highway:residential,osm
St. Patrick's Square,highway:pedestrian,osm
76th A Cross Road,highway:residential,osm
MK Street,highway:unclassified,osm
Appareddy Palya Road,highway:residential,osm
17th B Cross Road,highway:residential,osm
Muthyalamma Temple Street,highway:residential,osm
Muneshwara Temple Service Road,highway:residential,osm
19th A Cross Road,highway:residential,osm
13th B Main,highway:residential,osm
Sri Rama Temple Street,highway:residential,osm
17th C Cross,highway:residential,osm
Main Channel Street,highway:residential,osm
17th Cross Road,highway:living_street,osm
6th C Main,highway:residential,osm
17th D Cross,highway:residential,osm
3rd Cross Road,highway:pedestrian,osm
13th Cross Road,highway:living_street,osm
Vysya Bank Colony Main Road,highway:residential,osm
Kodichikkanahalli Main Road,highway:tertiary,osm
Vijaya Bank Colony,landuse:residential,osm
Bhagat Singh Main Road,highway:residential,osm
Viratnagar Main Road,highway:residential,osm
Kaveri Road,highway:residential,osm
7th Cross,highway:residential,osm
Veerabhadra Nagar Main Road,highway:residential,osm
Kempanna Main Road,highway:residential,osm
Kuvempu Road,highway:residential,osm
L Narayana Reddy Main Road,highway:residential,osm
Siddapura Main Road,highway:residential,osm
Kuttys corner,highway:residential,osm
Rohan Vasantha,landuse:residential,osm
Amba Bhavani Road,highway:tertiary,osm
60th Main Road,highway:residential,osm
Kempamma Devi Road,highway:residential,osm
Park Drive West,highway:residential,osm
Primerose Avenue,highway:residential,osm
Sai Balaji Road,highway:residential,osm
Ivy Lane,highway:residential,osm
Balagere Road,highway:tertiary,osm
DSR Green Vista,landuse:residential,osm
RMZ Ecoworld Internal Road,highway:tertiary,osm
Netharavati 3rd Cross,highway:residential,osm
"Gangappa Layout, 5th Cross",highway:residential,osm
Netravathi Second Cross,highway:residential,osm
Sakra Hospital Road,highway:tertiary,osm
Purva Rivera,landuse:residential,osm
16th D Main Road,highway:residential,osm
16th E Main,highway:residential,osm
Kodihalli Main Road,highway:residential,osm
Marathalli Bridge Service Road,highway:tertiary,osm
Gandhi Nagar Main Road,highway:tertiary,osm
Tumkur Road,highway:trunk,osm
Mekhri Circle Underpass,highway:trunk,osm
Bellary Road,highway:primary,osm
5th Cross Chico Square,highway:residential,osm
Hutchins 6th Cross,highway:tertiary,osm
"Hutchins 5th Cross ""A"" Street",highway:residential,osm
Hutchins 3rd Cross,highway:residential,osm
Dickenson Road,highway:secondary,osm
Annaswamy Mudaliar Road,highway:tertiary,osm
Mosque Road,highway:tertiary,osm
Cape Road,highway:residential,osm
Shalom Lane,highway:residential,osm
Pemme Gowda Road,highway:residential,osm
Bourdillon Road,highway:residential,osm
Rathan Singh Road,highway:residential,osm
Hutchins 4th Cross,highway:residential,osm
DaCosta Square,highway:residential,osm
"1st Cross, Dacosta Square",highway:residential,osm
Hutchins 2nd Cross,highway:residential,osm
"Hutchins 5th Cross ""C"" Street",highway:residential,osm
"Hutchins 5th Cross ""B"" Street",highway:residential,osm
Slip Road,highway:residential,osm
Jeevanahalli Main Road,highway:tertiary,osm
Cline Road,highway:residential,osm
Lloyd Road,highway:residential,osm
ORR Service Road,highway:tertiary,osm
Banaswadi Railway Station Road,highway:residential,osm
Bangalore - Nelamangala Expressway,highway:motorway,osm
SR Layout Main Road,highway:residential,osm
Bellandur Gate Road & Service Road,highway:tertiary,osm
6th Street,highway:residential,osm
7th Street,highway:residential,osm
Ferns City Road,highway:residential,osm
4th Street,highway:residential,osm
2nd Street,highway:residential,osm
9th Street,highway:residential,osm
5th Street,highway:residential,osm
Maheshwari Temple Road,highway:tertiary,osm
14th A Cross,highway:residential,osm
Hoodi Main Road,highway:primary,osm
5th Road,highway:tertiary,osm
1st F Main Road,highway:residential,osm
8th B Cross Road,highway:residential,osm
Vajarahalli Main Road,highway:secondary,osm
Temple Street,highway:tertiary,osm
1st G Main Road,highway:residential,osm
Manjunatha Kalyana Mantapa Road,highway:tertiary,osm
Rama Temple Road,highway:residential,osm
6,highway:residential,osm
Yelahanka New Town Main Road,highway:secondary,osm
Rail Wheel Factory West Colony,landuse:residential,osm
Yelahanka New Town,highway:platform,osm
15th A Cross Road,highway:secondary,osm
Doddaballapur Road,highway:primary,osm
13th A Main Road,highway:secondary,osm
3rd A Cross Road,highway:tertiary,osm
8th B Cross,highway:tertiary,osm
14th A Main,highway:residential,osm
9th A Cross,highway:residential,osm
15th A Main Road,highway:residential,osm
Mahaveer Regal Apartments,landuse:residential,osm
YNK Railway Station Road,highway:unclassified,osm
16th A Cross Road,highway:residential,osm
Railway Station Road,highway:unclassified,osm
Allalasandra Main Road,highway:tertiary,osm
"Judicial Layout, 27th Cross",highway:residential,osm
19th B Cross Road,highway:residential,osm
18th B Cross Road,highway:residential,osm
18th Main,highway:residential,osm
2nd Main,highway:residential,osm
17th B Cross,highway:residential,osm
Temple Road,highway:residential,osm
Kaggadasapura To outer Ring Road,highway:tertiary,osm
SMR Vinay Galaxy,landuse:residential,osm
3rd Street,highway:residential,osm
DNA Oaksville,landuse:residential,osm
DNA Apartment Road,highway:service,osm
Casa Gopalan,landuse:residential,osm
Victorian Meadows,highway:residential,osm
Total Environment Windmills Of Your Mind,landuse:residential,osm
Gopalan Grandeur,landuse:residential,osm
Golden Star,landuse:residential,osm
Sathya Sai Layout Road,highway:residential,osm
6th B Cross,highway:residential,osm
Sunnyvale Apartment,landuse:residential,osm
Studio Road,highway:residential,osm
Sterling Brookside,landuse:residential,osm
Green Avenue,highway:residential,osm
M3,highway:residential,osm
M1,highway:residential,osm
Orchid Woods,landuse:residential,osm
Hesaraghatta Main Road,highway:primary,osm
Kundalahalli Main Road,highway:primary,osm
Vasvani Bella Vista Villas,landuse:residential,osm
Chinnapanahalli Main Road,highway:tertiary,osm
Vishwanatha Nagenhalli Main Road,highway:tertiary,osm
2nd Road,highway:primary,osm
Adarsh Palm Meadows Road,highway:residential,osm
34 A Cross Road,highway:residential,osm
Champa Lane,highway:residential,osm
Frangipani Avenue,highway:residential,osm
35 A Cross Road,highway:residential,osm
1 E Cross Road,highway:residential,osm
1 D Cross Road,highway:residential,osm
Bhagyada Baglur Road,highway:residential,osm
1st G Cross Road,highway:residential,osm
9 A Cross Road,highway:residential,osm
Vagdevi School drive way,highway:service,osm
Sai Baba Temple Road,highway:tertiary,osm
Golden Blossom,landuse:residential,osm
Vaswani Pinnacle,landuse:residential,osm
Sobha Rose,landuse:residential,osm
Brigade Harmony,landuse:residential,osm
Spectra Cypress,landuse:residential,osm
Sumadhura Sandoval,landuse:residential,osm
Gayatri Ocean Blues,landuse:residential,osm
Vibgyor High School Road,highway:tertiary,osm
Vishnu Residency,landuse:residential,osm
NCC Maple Heights,landuse:residential,osm
DSR Elite,landuse:residential,osm
UKN Esperanza,landuse:residential,osm
Maangalya Suryodaya,landuse:residential,osm
Oasis Breeze Apartments,landuse:residential,osm
Purva Parkridge Villas,landuse:residential,osm
Sobha Dahlia,landuse:residential,osm
Sobha Carnation,landuse:residential,osm
Sobha Mayflower,landuse:residential,osm
Sobha Jasmine,landuse:residential,osm
HMT Link Road,highway:tertiary,osm
Nagarabhavi Underpass,highway:trunk,osm
Nayandahalli Underpass,highway:trunk,osm
Salarpuria Sanctity,landuse:residential,osm
SJR Brooklyn,landuse:residential,osm
AKME Encore,landuse:residential,osm
6th Main Ext Road,highway:residential,osm
D' Souza Road,highway:residential,osm
Langford Gardens Road,highway:residential,osm
7th Main Road I T I Layout,highway:residential,osm
Outer Ring Road Underpass,highway:trunk,osm
Karantha Road,highway:secondary,osm
